modbusTCP;inverter;SMA;STP 110-60;;;;;;;0
399;3;40519;I16;;130_tableId;;1;0;;0
400;3;40520;I16;;130_tableSize;;1;0;;0
401;3;40521;U16;;130_ActCrv;;1;0;;0
402;3;40522;U16;;130_ModEna;;1;0;;0
403;3;40523;U16;;130_WinTms;;1;0;Secs;0
404;3;40524;U16;;130_RvrtTms;;1;0;Secs;0
405;3;40525;U16;;130_RmpTms;;1;0;Secs;0
406;3;40526;U16;;130_NCrv;;1;0;;0
407;3;40527;U16;;130_NPt;;1;0;;0
408;3;40528;I16;;130_Tms_SF;;1;0;;0
409;3;40529;I16;;130_V_SF;;1;0;;0
411;3;40531;U16;;130_0_ActPt;;1;0;;0
412;3;40532;U16;130_Tms_SF;130_0_Tms1;;1;0;Secs;0
413;3;40533;U16;130_V_SF;130_0_V1;;1;0;% VRef;0
